golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes,rag_response,llm_relevance,llm_helpfulness,llm_response_quality
181,"@SpotifyCares After clearing the Spotify link in the Alexa app, the desktop and phone app work, but no more control via the Echo","@286241 1: Just to clarify, you can only stream on one device at a time. If you're logged in to Sonos/Alexa, you'll be prompted on your phone...",,,,,@286241 2: to either continue playing on it or have it play on your speaker. More info at https://t.co/64CIqASpvY /JP,,,
182,@SpotifyCares Can't wait!,"@664632 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Give us a shout if you need a hand with anything else /MG",,,,,"@664632 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Give us a shout if you need a hand with anything else /MG",,,
183,@115888 how can I cancel my other 2 premium accounts ?,@613838 Hi there! Could you DM us the usernames or email addresses for all your accounts? We'll take a look backstage /JO https://t.co/ldFdZRiNAt,,,,,@613838 Hi there! Could you DM us the usernames or email addresses for all your accounts? We'll take a look backstage /JO https://t.co/ldFdZRiNAt,,,
184,@115888 If i say i have a problem will a bot randomly reply with that premade message?,@577608 Hey there! Help's here. What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,,,,,@577608 Hey there! Help's here. What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,,,
185,"@115888 Android had just stopped casting your app. Tried everything. Can you speak to YouTube, which works flawlessly.","@575998 Hi Sam, help's here! Can you DM us your account's username and email address? We'll do some digging /TY https://t.co/ldFdZRiNAt",,,,,"@575998 Hi Sam, help's here! Can you DM us your account's username and email address? We'll do some digging /TY https://t.co/ldFdZRiNAt",,,
186,"@115888 it’d be nice to have EDubble’s freestyle Friday’s on Spotify, i need this in my life","@271229 Hey there! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /MX",,,,,"@271229 Hey there! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /MX",,,
187,"Is it just me or does @115888 erase your downloaded songs about once a month.

I just blew through all my data AGAIN  because of this bug. https://t.co/FMdscxVk0a","@140877 Hi Eric, sorry to hear that! We'd suggest checking out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /CX",,,,,"@140877 Hi Eric, sorry to hear that! We'd suggest checking out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /CX",,,
188,@115888 not syncing between my iPhone and @115821 Alexa :(,"@252753 Hey Emma, help's here! Can you let us know your iOS and Spotify versions? We'll see what we can suggest /MG",,,,,"@252753 Hey Emma, help's here! Can you let us know your iOS and Spotify versions? We'll see what we can suggest /MG",,,
189,Hui @148611 bat ito na lang version ng Crash Into Me? Nawala ung recorded version. Ansakit-sakit! https://t.co/M0tTJLeeN7,@554379 2: licensing changes. Hopefully we'll have it available again soon. More info here: https://t.co/0i8GpimuDa /LO,,,,,@554379 2: licensing changes. Hopefully we'll have it available again soon. More info here: https://t.co/0i8GpimuDa /LO,,,
190,@SpotifyCares Did you remove the 1986 The Fly soundtrack? =(,@142362 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,,,,,@142362 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,,,
191,"@SpotifyCares @323746 Hey there, @SpotifyCares. Actually the song just doesn’t seem to be available at all. Released July 24, 2001, the song peaked at #27 on the @204949 Hot 100. How can we get this available for streaming?",@323745 Got it. We can confirm the song was temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /MT,,,,,@323745 Got it. We can confirm the song was temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /MT,,,
192,@SpotifyCares Hi. Will there be a My Year In Music this year?,"@253241 Hi there! We're afraid that we don't have any info to share, but we'll let the right team know that it's something you'd like to see /AK",,,,,"@253241 Hi there! We're afraid that we don't have any info to share, but we'll let the right team know that it's something you'd like to see /AK",,,
193,"Hey @SpotifyCares someone is using my Spotify account on devices I don't recognize, I think I may have been hacked. Help?","@438120 Hi Alex, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /JQ",,,,,"@438120 Hi Alex, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /JQ",,,
194,@SpotifyCares … I could star 4-5 tracks from the list. Now it’s rarely more than max 1. And often zero,@580566 Sorry to hear that! Your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /ND,,,,,@580566 Sorry to hear that! Your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /ND,,,
195,@115888 Removing songs with Chris Brown from all of my curated playlists forever would be a great place to start!!,"@267046 Hey NIcole! This isn't possible right now, but you can show your support for the idea in our Community: https://t.co/oGDLtirXki /AR",,,,,"@267046 Hey NIcole! This isn't possible right now, but you can show your support for the idea in our Community: https://t.co/oGDLtirXki /AR",,,
196,@115888 What if I already have Hulu and spotify?,@304330 Hi Iciny! Can you DM us your account's email address? We'll help you sign up for the bundle 🙂 /RR https://t.co/ldFdZRiNAt,,,,,@304330 Hi Iciny! Can you DM us your account's email address? We'll help you sign up for the bundle 🙂 /RR https://t.co/ldFdZRiNAt,,,
197,.@SpotifyCares the app doesn't start half the time on Lumia 950.  Just hangs at the initial loading screen.  What gives...?,@129638 Hey there. Could you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt,,,,,@129638 Hey there. Could you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt,,,
198,"@SpotifyCares shuffle &amp; repeat keeps coming on by itself, anything I can do? iPhone 6s+, iOS 10.3.3, Spotify 8.4.27 https://t.co/imFk6h0zto",@707288 Hey there! Can you try tapping the Shuffle and Repeat buttons until they're no longer green? Are they being enabled everytime you switch songs? /MA,,,,,@707288 Hey there! Can you try tapping the Shuffle and Repeat buttons until they're no longer green? Are they being enabled everytime you switch songs? /MA,,,
199,"@SpotifyCares Hey, I seem to be unable to unfollow a gone playlist. Can you take a look at https://t.co/wfuMcdy3F0 and tell me what to do?","@801776 Hi, help's here! Can you DM us your account's email address or username, along with the name of the playlist?  We'll see what we can suggest /XF https://t.co/ldFdZRiNAt",,,,,"@801776 Hi, help's here! Can you DM us your account's email address or username, along with the name of the playlist?  We'll see what we can suggest /XF https://t.co/ldFdZRiNAt",,,
200,"@SpotifyCares Hello! Is there a reason I can't stream Bruno Mars from my Windows desktop, Windows laptop, or Android phone?","@179298 Hey there, we're here to help! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV https://t.co/ldFdZRiNAt",,,,,"@179298 Hey there, we're here to help! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV https://t.co/ldFdZRiNAt",,,
